t,i,q,dq,q_des,dq_des
0.339057,0,0.227991,0.727626,0.261888,0.000000
0.341057,0,0.229141,0.711604,0.262795,0.000000
0.343056,0,0.230675,0.680934,0.263692,0.000000
0.345057,0,0.231826,0.643854,0.264579,0.000000
0.347057,0,0.233360,0.705653,0.265456,0.000000
0.349058,0,0.234510,0.643854,0.266323,0.000000
0.351058,0,0.235661,0.610895,0.267178,0.000000
0.353065,0,0.237195,0.614099,0.268026,0.000000
0.355057,0,0.237962,0.621881,0.268857,0.000000
0.357057,0,0.239496,0.601282,0.269680,0.000000
0.359057,0,0.240646,0.560541,0.270493,0.000000
0.361059,0,0.241797,0.605859,0.271296,0.000000
0.363057,0,0.242564,0.527582,0.272087,0.000000
0.365057,0,0.243714,0.523460,0.272868,0.000000
0.367057,0,0.244865,0.515678,0.273638,0.000000
0.369057,0,0.246017,0.569696,0.274397,0.000000
0.371058,0,0.246784,0.476310,0.275145,0.000000
0.373057,0,0.247934,0.511558,0.275883,0.000000
0.375057,0,0.249085,0.590753,0.276609,0.000000
0.377057,0,0.249852,0.518882,0.277325,0.000000
0.379057,0,0.251002,0.557336,0.278029,0.000000
0.381057,0,0.251769,0.548181,0.278723,0.000000
0.383056,0,0.252920,0.520256,0.279405,0.000000
0.385057,0,0.253687,0.448844,0.280077,0.000000
0.387057,0,0.254837,0.492790,0.280737,0.000000
0.389057,0,0.255604,0.452507,0.281387,0.000000
0.391057,0,0.256755,0.474479,0.282025,0.000000
0.393057,0,0.257522,0.420921,0.282652,0.000000
0.395057,0,0.258672,0.468071,0.283268,0.000000
0.397057,0,0.259439,0.465324,0.283872,0.000000
0.399057,0,0.260589,0.443809,0.284466,0.000000
0.401058,0,0.261356,0.421379,0.285048,0.000000
0.403058,0,0.262123,0.386129,0.285619,0.000000
0.405057,0,0.262890,0.417717,0.286178,0.000000
0.407056,0,0.263657,0.354086,0.286727,0.000000
0.409057,0,0.264041,0.225452,0.287264,0.000000
0.411058,0,0.264808,0.355001,0.287789,0.000000
0.413057,0,0.265575,0.315176,0.288303,0.000000
0.415058,0,0.265958,0.339437,0.288806,0.000000
0.417057,0,0.266342,0.281757,0.289298,0.000000
0.419057,0,0.267109,0.297781,0.289778,0.000000
0.421057,0,0.267492,0.300527,0.290246,0.000000
0.423057,0,0.268259,0.267109,0.290703,0.000000
0.425057,0,0.268643,0.257038,0.291148,0.000000
0.427057,0,0.269026,0.260242,0.291582,0.000000
0.429057,0,0.269410,0.217670,0.292005,0.000000
0.431057,0,0.269793,0.208515,0.292416,0.000000
0.433057,0,0.270177,0.200733,0.292815,0.000000
0.435057,0,0.270560,0.241932,0.293203,0.000000
0.437057,0,0.270944,0.256580,0.293579,0.000000
0.439057,0,0.271327,0.139849,0.293943,0.000000
0.441056,0,0.271711,0.205311,0.294296,0.000000
0.443057,0,0.272094,0.178760,0.294637,0.000000
0.445055,0,0.272478,0.208515,0.294966,0.000000
0.447057,0,0.272861,0.157244,0.295285,0.000000
0.449054,0,0.272861,0.170061,0.295591,0.000000
0.451054,0,0.273245,0.181965,0.295885,0.000000
0.453057,0,0.273628,0.155870,0.296168,0.000000
0.455057,0,0.274012,0.197071,0.296439,0.000000
0.457058,0,0.274012,0.104601,0.296699,0.000000
0.459057,0,0.274395,0.073473,0.296947,0.000000
0.461057,0,0.274779,0.137102,0.297182,0.000000
0.463057,0,0.275162,0.151293,0.297407,0.000000
0.465056,0,0.275162,0.097277,0.297619,0.000000
0.467056,0,0.275929,0.174639,0.297819,0.000000
0.469058,0,0.275929,0.111009,0.298009,0.000000
0.471056,0,0.276313,0.165941,0.298185,0.000000
0.473057,0,0.276696,0.120165,0.298351,0.000000
0.475057,0,0.277080,0.124285,0.298504,0.000000
0.477057,0,0.277463,0.148546,0.298646,0.000000
0.479057,0,0.277847,0.217212,0.298776,0.000000
0.481058,0,0.277847,0.156328,0.298894,0.000000
0.483058,0,0.278230,0.124285,0.299000,0.000000
0.485058,0,0.278614,0.111009,0.299094,0.000000
0.487057,0,0.278997,0.116503,0.299177,0.000000
0.489057,0,0.278997,0.131151,0.299248,0.000000
0.491057,0,0.279381,0.196613,0.299306,0.000000
0.493057,0,0.279764,0.172808,0.299353,0.000000
0.495057,0,0.280148,0.096361,0.299389,0.000000
0.497057,0,0.280531,0.190662,0.299412,0.000000
0.499061,0,0.280915,0.179218,0.299423,0.000000
0.501060,0,0.281298,0.140306,0.299423,0.000000
0.503060,0,0.281298,0.162737,0.299411,0.000000
0.505059,0,0.282065,0.196613,0.299387,0.000000
0.507062,0,0.282065,0.111009,0.299351,0.000000
0.509060,0,0.282449,0.235065,0.299303,0.000000
0.511039,0,0.282832,0.196613,0.299244,0.000000
0.513067,0,0.283216,0.173265,0.299172,0.000000
0.515058,0,0.283599,0.207599,0.299089,0.000000
0.517065,0,0.283983,0.091783,0.298994,0.000000
0.519056,0,0.284366,0.188831,0.298887,0.000000
0.521058,0,0.284750,0.157701,0.298769,0.000000
0.523057,0,0.285133,0.193409,0.298638,0.000000
