t,i,q,dq,q_des,dq_des
2.588061,0,0.292036,-0.015335,0.289168,-0.257424
2.598140,0,0.291269,-0.111925,0.286429,-0.286000
2.608073,0,0.289735,-0.133898,0.283449,-0.313879
2.618138,0,0.287818,-0.211719,0.280150,-0.341817
2.628069,0,0.285517,-0.251087,0.276619,-0.369050
2.638138,0,0.282832,-0.299611,0.272766,-0.396292
2.648043,0,0.278997,-0.400778,0.268710,-0.422705
2.658145,0,0.274779,-0.453880,0.264305,-0.449220
2.668073,0,0.270177,-0.416342,0.259718,-0.474841
2.678166,0,0.265958,-0.481803,0.254796,-0.500412
2.688074,0,0.261356,-0.513848,0.249715,-0.525024
2.698166,0,0.256755,-0.530327,0.244292,-0.549572
2.708073,0,0.251386,-0.529412,0.238730,-0.573133
2.718138,0,0.245633,-0.618220,0.232844,-0.596500
2.728054,0,0.239112,-0.670862,0.226818,-0.618937
2.738133,0,0.232976,-0.684596,0.220467,-0.641129
2.748064,0,0.226457,-0.626917,0.213994,-0.662366
2.758152,0,0.219938,-0.656214,0.207206,-0.683279
2.768062,0,0.212268,-0.743649,0.200336,-0.703154
2.778137,0,0.204981,-0.733120,0.193152,-0.722664
2.788052,0,0.197695,-0.799955,0.185895,-0.741155
2.798142,0,0.190025,-0.726253,0.178325,-0.759233
2.808075,0,0.181971,-0.769741,0.170698,-0.776287
2.818135,0,0.173918,-0.882353,0.162804,-0.792788
2.828050,0,0.165865,-0.742733,0.154866,-0.808277
2.838134,0,0.157811,-0.801328,0.146640,-0.823224
2.848074,0,0.149374,-0.769283,0.138387,-0.837150
2.858132,0,0.140936,-0.864500,0.129900,-0.850409
2.868050,0,0.132116,-0.895628,0.121404,-0.862654
2.878131,0,0.123679,-0.787594,0.112648,-0.874242
2.888075,0,0.114858,-0.868162,0.103902,-0.884812
2.898064,0,0.106038,-0.920348,0.095014,-0.894562
2.908076,0,0.096834,-0.817807,0.086013,-0.903450
2.918138,0,0.087630,-0.888762,0.076881,-0.911481
2.928062,0,0.078426,-0.977112,0.067800,-0.918511
2.938058,0,0.069222,-0.924468,0.058587,-0.924689
2.948059,0,0.060018,-0.935912,0.049312,-0.929958
2.958150,0,0.050431,-0.980316,0.039904,-0.934344
2.968061,0,0.040842,-0.948730,0.030627,-0.937737
2.978138,0,0.031255,-1.012360,0.021163,-0.940256
2.988047,0,0.021667,-0.924010,0.011838,-0.941813
2.998132,0,0.012464,-1.026551,0.002335,-0.942462
3.008086,0,0.002493,-0.993591,-0.007044,-0.942174
3.018140,0,-0.006711,-0.976654,-0.016512,-0.940948
3.028166,0,-0.016299,-0.911651,-0.025936,-0.938791
3.038131,0,-0.025887,-1.003204,-0.035276,-0.935724
3.048075,0,-0.035474,-0.941405,-0.044562,-0.931749
3.058138,0,-0.044678,-0.952849,-0.053914,-0.926801
3.068045,0,-0.054265,-0.906157,-0.063069,-0.921025
3.078136,0,-0.063469,-0.973450,-0.072328,-0.914225
3.088049,0,-0.072673,-0.874113,-0.081355,-0.906650
3.098069,0,-0.081494,-0.895628,-0.090397,-0.898100
3.108158,0,-0.091082,-0.926757,-0.099411,-0.888591
3.118140,0,-0.099902,-0.870451,-0.108230,-0.878306
3.128075,0,-0.108722,-0.912566,-0.116902,-0.867212
3.138156,0,-0.117159,-0.799039,-0.125584,-0.855090
3.148035,0,-0.125980,-0.890593,-0.133969,-0.842379
3.158128,0,-0.134417,-0.829709,-0.142402,-0.828556
3.168073,0,-0.142854,-0.905699,-0.150571,-0.814120
3.178140,0,-0.150908,-0.862211,-0.158690,-0.798698
3.188046,0,-0.159345,-0.830625,-0.166523,-0.782743
3.198136,0,-0.167014,-0.791257,-0.174336,-0.765712
3.208075,0,-0.174685,-0.703822,-0.181860,-0.748184
3.218142,0,-0.182355,-0.761501,-0.189300,-0.729685
